,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
1385,TCI.V,"04/20/2020, 07:41:51",0.015,106720000.0,1600000.0,0.0,0.0,0.0,0,0.0,2768.0,115.0,593.0,-641.0,2019-03-31,2019-03-31,2019-03-31
1386,TECT.V,"04/20/2020, 07:42:12",0.17,55200000.0,9380000.0,7600000.0,-5550000.0,0.0,0.0,0.0,1791.0,531.0,0.0,-5059.0,2019-12-31,2019-12-31,2019-12-31
1387,TELO.V,"04/20/2020, 07:42:34",0.17,41210000.0,7010000.0,5530000.0,0.0,0.0,0,0.0,19.0,1308.0,0.0,-327.0,2019-06-30,2019-06-30,2019-06-30
1388,TEM.V,"04/20/2020, 07:42:55",0.035,177770000.0,6220000.0,6300000.0,-1060000.0,0.0,0.0,0.0,3.0,2622.0,0.0,-98.0,2018-12-31,2018-12-31,2018-12-31
1389,TES.V,"04/20/2020, 07:43:15",0.035,72290000.0,2530000.0,2410000.0,0,0,0,0.0,194.0,76.0,0.0,-395.0,2019-10-31,2019-10-31,2019-10-31
1390,TEST.V,"04/20/2020, 07:43:35",0.175,54270000.0,9500000.0,6920000.0,-4210000.0,0.0,0,0.0,2580.0,564.0,250.0,-3663.0,2019-12-31,2019-12-31,2019-12-31
1391,TETH.V,"04/20/2020, 07:43:56",0.11,80430000.0,8850000.0,7580000.0,-6160000.0,0.0,0.0,0.0,129.0,1687.0,0.0,-3147.0,2018-12-31,2018-12-31,2018-12-31
1392,TG.V,"04/20/2020, 07:44:17",0.03,37320000.0,1120000.0,1030000.0,0.0,0.0,0,0.0,92.0,26.0,0.0,-256.0,2019-12-31,2019-12-31,2019-12-31
1393,TGH.V,"04/20/2020, 07:44:38",0.125,126770000.0,15850000.0,16660000.0,2360000.0,0.0,0.0,0.0,2228.0,8140.0,38850.0,64.0,2018-12-31,2018-12-31,2018-12-31
1394,TGR.V,"04/20/2020, 07:44:58",0.195,10330000.0,2020000.0,2020000.0,0,0,0,0.0,3.0,587.0,0.0,-17.0,2019-04-30,2019-04-30,2019-04-30
1395,TGX.V,"04/20/2020, 07:45:18",0.045,13580000.0,0.0,3970000.0,0,0,0,0.0,563.0,6378.0,0.0,304.0,2018-12-31,2018-12-31,2018-12-31
1396,THM.V,"04/20/2020, 07:45:38",0.07,60150000.0,7480000.0,4250000.0,0.0,0.0,0.0,0.0,252.0,1695.0,1954.0,-316.0,2019-12-31,2019-12-31,2019-12-31
1397,THRM.V,"04/20/2020, 07:45:59",0.01,163760000.0,1640000.0,1790000.0,0.0,0.0,0,0.0,30.0,369.0,6.0,-189.0,2019-07-31,2019-07-31,2019-07-31
1398,THX.V,"04/20/2020, 07:46:19",0.18,449350000.0,80880000.0,66330000.0,-2210000.0,0.0,0,0.0,304.0,2401.0,0.0,-1621.0,2018-12-31,2018-12-31,2018-12-31
